12-04-2015,Rosario Central,  San Martín (SJ)
12-04-2015,Tigre,  Estudiantes
12-04-2015,Racing,  Huracán
12-04-2015,Boca Juniors,  Nueva Chicago
12-04-2015,Banfield,  Lanús
12-04-2015,Argentinos Juniors,  River Plate
12-04-2015,San Lorenzo,  Independiente
12-04-2015,Gimnasia y Esgrima (LP),  Aldosivi
12-04-2015,Godoy Cruz,  Vélez Sarsfield
12-04-2015,Arsenal,  Newell's Old Boys
12-04-2015,Unión,  Sarmiento
12-04-2015,Belgrano,  Quilmes
19-04-2015,Belgrano,  Crucero del Norte
19-04-2015,Quilmes,  Unión
19-04-2015,Sarmiento,  Arsenal
19-04-2015,Newell's Old Boys,  Godoy Cruz
19-04-2015,Vélez Sarsfield,  Gimnasia y Esgrima (LP)
19-04-2015,Aldosivi,  San Lorenzo
19-04-2015,Independiente,  Argentinos Juniors
19-04-2015,River Plate,  Banfield
19-04-2015,Lanús,  Boca Juniors
19-04-2015,Nueva Chicago,  Racing
19-04-2015,Huracán,  Tigre
19-04-2015,Estudiantes,  Rosario Central
19-04-2015,San Martín (SJ),  Olimpo 
19-04-2015,Defensa y Justicia,  Temperley
19-04-2015,Colón,  Atlético de Rafaela
03-05-2015,Crucero del Norte,  Colón
03-05-2015,Atlético de Rafaela,  Defensa y Justicia
03-05-2015,Temperley,  San Martín (SJ)
03-05-2015,Olimpo ,  Estudiantes
03-05-2015,Rosario Central,  Huracán
03-05-2015,Tigre,  Nueva Chicago
03-05-2015,Racing,  Lanús
03-05-2015,Boca Juniors,  River Plate
03-05-2015,Banfield,  Independiente
03-05-2015,Argentinos Juniors,  Aldosivi
03-05-2015,San Lorenzo,  Vélez Sarsfield
03-05-2015,Gimnasia y Esgrima (LP),  Newell's Old Boys
03-05-2015,Godoy Cruz,  Sarmiento
03-05-2015,Arsenal,  Quilmes
03-05-2015,Unión,  Belgrano
10-05-2015,Unión,  Crucero del Norte
10-05-2015,Belgrano,  Arsenal
10-05-2015,Quilmes,  Godoy Cruz
10-05-2015,Sarmiento,  Gimnasia y Esgrima (LP)
10-05-2015,Newell's Old Boys,  San Lorenzo
10-05-2015,Vélez Sarsfield,  Argentinos Juniors
10-05-2015,Aldosivi,  Banfield
10-05-2015,Independiente,  Boca Juniors
10-05-2015,River Plate,  Racing
10-05-2015,Lanús,  Tigre
10-05-2015,Nueva Chicago,  Rosario Central
10-05-2015,Huracán,  Olimpo 
10-05-2015,Estudiantes,  Temperley
10-05-2015,San Martín (SJ),  Atlético de Rafaela
10-05-2015,Defensa y Justicia,  Colón
17-05-2015,Crucero del Norte,  Defensa y Justicia
